Date,Months_Since,Days_Since,Open,High,Low,Close,Adj Close,Volume,Interest_Rate,Interest_Rate,CPI,GDP,Debt_to_GDP_Ratio,Balance_of_Trade
1984-01-03,0,0,164.92999267578125,164.92999267578125,163.97999572753906,164.0399932861328,164.0399932861328,71340000.0,9.56,9.56,102.1,3910.285802197802,37460.45901377213,-95.003
1984-01-04,0,1,164.08999633789062,166.77999877929688,164.0399932861328,166.77999877929688,166.77999877929688,112980000.0,9.56,9.56,102.1,3911.401703296704,37463.4524077488,-95.003
1984-01-05,0,2,166.77999877929688,169.10000610351562,166.77999877929688,168.80999755859375,168.80999755859375,159990000.0,9.56,9.56,102.1,3912.517604395605,37466.445801725466,-95.003
1984-01-06,0,3,168.80999755859375,169.30999755859375,168.49000549316406,169.27999877929688,169.27999877929688,137590000.0,9.56,9.56,102.1,3913.6335054945057,37469.439195702136,-95.003
1984-01-07,0,4,168.80999755859375,169.30999755859375,168.49000549316406,169.27999877929688,169.27999877929688,137590000.0,9.56,9.56,102.1,3914.749406593407,37472.43258967881,-95.003
1984-01-08,0,5,168.80999755859375,169.30999755859375,168.49000549316406,169.27999877929688,169.27999877929688,137590000.0,9.56,9.56,102.1,3915.865307692308,37475.42598365547,-95.003
1984-01-09,0,6,169.17999267578125,169.4600067138672,168.47999572753906,168.89999389648438,168.89999389648438,107100000.0,9.56,9.56,102.1,3916.9812087912087,37478.41937763214,-95.003
1984-01-10,0,7,168.89999389648438,169.5399932861328,167.8699951171875,167.9499969482422,167.9499969482422,109570000.0,9.56,9.56,102.1,3918.09710989011,37481.41277160881,-95.003
1984-01-11,0,8,167.9499969482422,168.07000732421875,167.27000427246094,167.8000030517578,167.8000030517578,98660000.0,9.56,9.56,102.1,3919.213010989011,37484.40616558548,-95.003
1984-01-12,0,9,167.7899932861328,168.39999389648438,167.67999267578125,167.75,167.75,99410000.0,9.56,9.56,102.1,3920.328912087912,37487.39955956215,-95.003
1984-01-13,0,10,167.75,168.58999633789062,166.63999938964844,167.02000427246094,167.02000427246094,101790000.0,9.56,9.56,102.1,3921.4448131868135,37490.39295353882,-95.003
1984-01-14,0,11,167.75,168.58999633789062,166.63999938964844,167.02000427246094,167.02000427246094,101790000.0,9.56,9.56,102.1,3922.5607142857134,37493.38634751549,-95.003
1984-01-15,0,12,167.75,168.58999633789062,166.63999938964844,167.02000427246094,167.02000427246094,101790000.0,9.56,9.56,102.1,3923.676615384616,37496.379741492165,-95.003
1984-01-16,0,13,167.02000427246094,167.5500030517578,166.77000427246094,167.17999267578125,167.17999267578125,93790000.0,9.56,9.56,102.1,3924.792516483517,37499.37313546884,-95.003
1984-01-17,0,14,167.17999267578125,167.83999633789062,167.00999450683594,167.8300018310547,167.8300018310547,92750000.0,9.56,9.56,102.1,3925.9084175824178,37502.36652944551,-95.003
1984-01-18,0,15,167.8300018310547,168.33999633789062,167.02000427246094,167.5500030517578,167.5500030517578,109010000.0,9.56,9.56,102.1,3927.024318681319,37505.35992342218,-95.003
1984-01-19,0,16,167.5500030517578,167.64999389648438,166.6699981689453,167.0399932861328,167.0399932861328,98340000.0,9.56,9.56,102.1,3928.14021978022,37508.35331739885,-95.003
1984-01-20,0,17,167.0399932861328,167.05999755859375,165.8699951171875,166.2100067138672,166.2100067138672,93360000.0,9.56,9.56,102.1,3929.2561208791208,37511.34671137552,-95.003
1984-01-21,0,18,167.0399932861328,167.05999755859375,165.8699951171875,166.2100067138672,166.2100067138672,93360000.0,9.56,9.56,102.1,3930.372021978022,37514.34010535218,-95.003
1984-01-22,0,19,167.0399932861328,167.05999755859375,165.8699951171875,166.2100067138672,166.2100067138672,93360000.0,9.56,9.56,102.1,3931.4879230769234,37517.33349932885,-95.003
1984-01-23,0,20,166.2100067138672,166.2100067138672,164.8300018310547,164.8699951171875,164.8699951171875,82010000.0,9.56,9.56,102.1,3932.603824175824,37520.32689330552,-95.003
1984-01-24,0,21,164.8699951171875,166.35000610351562,164.83999633789062,165.94000244140625,165.94000244140625,103050000.0,9.56,9.56,102.1,3933.7197252747255,37523.32028728219,-95.003
