dependent_variable,variables,R_squared,p-values,AIC
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10')",0.28953242188050277,"{'const': 0.0, 'Interest_Rate_Lag_1': 3.1112918105080953e-34, 'Interest_Rate_Lag_20': 1.474502500879975e-61, 'Interest_Rate_Pct_Change_Lag_1': 0.0024816096148331927, 'Interest_Rate_Pct_Change_Lag_10': 0.00523086752910226}",241115.78627511597
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.2895252880811443,"{'const': 0.0, 'Interest_Rate_Lag_1': 3.0142966609361424e-34, 'Interest_Rate_Lag_20': 1.4130098616340848e-61, 'Interest_Rate_Pct_Change_Lag_5': 0.0026884876696778763, 'Interest_Rate_Pct_Change_Lag_10': 0.0052360308151144655}",241115.93276241468
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.2894884838113435,"{'const': 0.0, 'Interest_Rate_Lag_5': 7.981007748038564e-29, 'Interest_Rate_Lag_20': 4.356072458530577e-51, 'Interest_Rate_Pct_Change_Lag_1': 1.0753862366088461e-05, 'Interest_Rate_Pct_Change_Lag_5': 0.0030003974943651895, 'Interest_Rate_Pct_Change_Lag_20': 1.264213895278065e-06}",241101.95914305653
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.2894292963686208,"{'const': 0.0, 'Interest_Rate_Lag_5': 5.999749341994093e-29, 'Interest_Rate_Lag_20': 2.9732029856029005e-51, 'Interest_Rate_Pct_Change_Lag_1': 1.0768016829559357e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005860834217580936, 'Interest_Rate_Pct_Change_Lag_20': 1.2660420381566156e-06}",241103.17431048723
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1')",0.289152431124315,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.874765696200557e-36, 'Interest_Rate_Lag_20': 1.68044087203221e-64, 'Interest_Rate_Pct_Change_Lag_1': 0.002789500393392162}",241121.58705777256
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5')",0.289145380402278,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.7831814137767366e-36, 'Interest_Rate_Lag_20': 1.6092650148789283e-64, 'Interest_Rate_Pct_Change_Lag_5': 0.0030195458990311935}",241121.73176175434
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10')",0.28908631942389784,"{'const': 0.0, 'Interest_Rate_Lag_1': 2.0973324030702403e-36, 'Interest_Rate_Lag_20': 1.1024656073822956e-64, 'Interest_Rate_Pct_Change_Lag_10': 0.0058891071858802185}",241122.94383071663
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_20')",0.2890592051952393,"{'const': 0.0, 'Interest_Rate_Lag_5': 4.868777462372398e-31, 'Interest_Rate_Lag_20': 2.955089244373542e-54, 'Interest_Rate_Pct_Change_Lag_1': 1.0883761214643457e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.280150202042513e-06}",241108.77029569767
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.28892623227613357,"{'const': 0.0, 'Interest_Rate_Lag_5': 9.80690881176667e-27, 'Interest_Rate_Lag_20': 4.41360544603051e-48, 'Interest_Rate_Pct_Change_Lag_5': 0.002626295056567688, 'Interest_Rate_Pct_Change_Lag_10': 0.005114954131087796, 'Interest_Rate_Pct_Change_Lag_20': 1.2820572920576561e-06}",241113.49855038745
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.2887845610931472,"{'const': 0.0, 'Interest_Rate_Lag_5': 9.770301393737299e-27, 'Interest_Rate_Lag_20': 4.491161520038859e-48, 'Interest_Rate_Pct_Change_Lag_1': 1.0906658066791225e-05, 'Interest_Rate_Pct_Change_Lag_5': 0.002627575108079603, 'Interest_Rate_Pct_Change_Lag_10': 0.005116948391099231}",241133.13504400814
Close,"('Interest_Rate_Lag_1', 'Interest_Rate_Lag_20')",0.28871654890952214,"{'const': 0.0, 'Interest_Rate_Lag_1': 1.780220501824415e-38, 'Interest_Rate_Lag_20': 1.1575791835723747e-67}",241128.53009570853
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.2885438891259232,"{'const': 0.0, 'Interest_Rate_Lag_5': 8.985056853399833e-29, 'Interest_Rate_Lag_20': 4.945452791369264e-51, 'Interest_Rate_Pct_Change_Lag_5': 0.003039551587623695, 'Interest_Rate_Pct_Change_Lag_20': 1.2968283585338558e-06}",241119.3403849858
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.28848474556501014,"{'const': 0.0, 'Interest_Rate_Lag_5': 6.757442576467822e-29, 'Interest_Rate_Lag_20': 3.376926122948656e-51, 'Interest_Rate_Pct_Change_Lag_10': 0.005930248403781524, 'Interest_Rate_Pct_Change_Lag_20': 1.2986970940254809e-06}",241120.55303941877
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5')",0.28840220238357506,"{'const': 0.0, 'Interest_Rate_Lag_5': 8.951492821743518e-29, 'Interest_Rate_Lag_20': 5.0368075551290024e-51, 'Interest_Rate_Pct_Change_Lag_1': 1.1027805501125061e-05, 'Interest_Rate_Pct_Change_Lag_5': 0.0030409951812069807}",241138.9761734059
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10')",0.28834306019026057,"{'const': 0.0, 'Interest_Rate_Lag_5': 6.732345871750688e-29, 'Interest_Rate_Lag_20': 3.439540833677209e-51, 'Interest_Rate_Pct_Change_Lag_1': 1.1042265237470242e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005932485780443689}",241140.18864147094
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.28821200277749404,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.5662354949456284e-19, 'Interest_Rate_Lag_20': 4.996292895287552e-34, 'Interest_Rate_Pct_Change_Lag_1': 1.1005307310337016e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.2292710368994024e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005833959223947339, 'Interest_Rate_Pct_Change_Lag_20': 1.2925592503027172e-06}",241130.14393767377
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_20')",0.28811522398149214,"{'const': 0.0, 'Interest_Rate_Lag_5': 5.542326894883535e-31, 'Interest_Rate_Lag_20': 3.3963963175113506e-54, 'Interest_Rate_Pct_Change_Lag_20': 1.3131095721779203e-06}",241126.12727135094
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1')",0.28797352356802297,"{'const': 0.0, 'Interest_Rate_Lag_5': 5.521791810094314e-31, 'Interest_Rate_Lag_20': 3.462460369196735e-54, 'Interest_Rate_Pct_Change_Lag_1': 1.1160456092491094e-05}",241145.7621930645
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_20')",0.2878408474278984,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.0129427724028204e-21, 'Interest_Rate_Lag_20': 4.761362921181421e-37, 'Interest_Rate_Pct_Change_Lag_1': 1.1123825826800161e-05, 'Interest_Rate_Pct_Change_Lag_5': 1.2424116638683697e-05, 'Interest_Rate_Pct_Change_Lag_20': 1.3069902320849607e-06}",241135.74873447156
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10')",0.2878404111924495,"{'const': 0.0, 'Interest_Rate_Lag_5': 1.0881503739864484e-26, 'Interest_Rate_Lag_20': 5.037639904319181e-48, 'Interest_Rate_Pct_Change_Lag_5': 0.002662736993329718, 'Interest_Rate_Pct_Change_Lag_10': 0.005179274961455572}",241150.48933174435
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5')",0.2874586403175352,"{'const': 0.0, 'Interest_Rate_Lag_5': 1.0072937765731054e-28, 'Interest_Rate_Lag_20': 5.715215162065506e-51, 'Interest_Rate_Pct_Change_Lag_5': 0.00308051964811713}",241156.3080328315
Close,"('Interest_Rate_Lag_5', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_10')",0.287399541962166,"{'const': 0.0, 'Interest_Rate_Lag_5': 7.579010981239247e-29, 'Interest_Rate_Lag_20': 3.904477919581107e-51, 'Interest_Rate_Pct_Change_Lag_10': 0.006002466824351675}",241157.5179978978
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_1', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.28727812723622603,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.7686393392111264e-19, 'Interest_Rate_Lag_20': 5.416896498605025e-34, 'Interest_Rate_Pct_Change_Lag_1': 1.1276686553269099e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005902587636940603, 'Interest_Rate_Pct_Change_Lag_20': 1.3254925495245353e-06}",241147.27104747447
Close,"('Interest_Rate_Lag_10', 'Interest_Rate_Lag_20', 'Interest_Rate_Pct_Change_Lag_5', 'Interest_Rate_Pct_Change_Lag_10', 'Interest_Rate_Pct_Change_Lag_20')",0.2872678035684759,"{'const': 0.0, 'Interest_Rate_Lag_10': 2.7706578389034846e-19, 'Interest_Rate_Lag_20': 5.422372324496165e-34, 'Interest_Rate_Pct_Change_Lag_5': 1.2596073310322837e-05, 'Interest_Rate_Pct_Change_Lag_10': 0.005903157262276758, 'Interest_Rate_Pct_Change_Lag_20': 1.325799206453369e-06}",241147.48235090176
